Genre,Occurrances
"canadian contemporary r&b",1
"canadian pop",1
"pop",2
"mexican metal",1
"monterrey indie",1
"edmonton indie",1
"lo-fi indie",1
"pov: indie",3
"slacker rock",1
"hard rock",8
"metal",8
"colombian pop",1
"latin pop",2
"mexican pop",2
"rock en espanol",1
"art pop",3
"electropop",1
"escape room",1
"indie pop",2
"alternative rock",2
"modern power pop",2
"modern rock",7
"permanent wave",1
"rock",11
"north east england indie",1
"alternative country",1
"folk",1
"new americana",1
"roots rock",2
"latin alternative",2
"mexican indie",2
"mexican rock",1
"tropical alternativo",1
"mexican hip hop",1
"rap conciencia",1
"old school thrash",7
"thrash metal",7
"brighton indie",1
"garage rock",1
"modern alternative rock",4
"modern blues rock",1
"modern hard rock",1
"etherpop",1
"indie rock",4
"indietronica",2
"metropopolis",1
"neo-synthpop",1
"indie punk",4
"louisville indie",2
"k-rock",1
"korean indie rock",1
"scottish rock",1
"australian garage punk",1
"brisbane punk",1
"hardcore punk",1
"punk",1
"alternative emo",1
"bubblegrunge",3
"canadian indie",1
"canadian pop punk",1
"canadian punk",1
"emo",1
"toronto indie",1
"alternative metal",1
"nu metal",1
"post-grunge",1
"punk blues",1
"filmi",1
"modern bollywood",1
"desi hip hop",1
"desi trap",1
"hindi hip hop",1
"psychedelic hip hop",1
"underground hip hop",1
"latin arena pop",1
"alternative r&b",1
"indie soul",2
"la pop",1
"reggaeton",1
"reggaeton colombiano",1
"trap latino",1
"urbano latino",1
"dancefloor dnb",1
"drum and bass",1
"uk dance",1
"grime",1
"uk hip hop",1
"contemporary country",4
"country",2
"country road",2
"modern country rock",2
"filter house",1
"danish metal",1
"danish rock",1
"mongolian alternative",1
"oriental metal",1
"la indie",2
"glam rock",1
"mellow gold",1
"piano rock",1
"chamber ensemble",1
"classical cello",1
"classical performance",1
"rock drums",1
"alternative dance",1
"black americana",2
"country pop",1
"folk-pop",1
"irish pop",1
"uk pop",1
"classical piano",1
"russian classical piano",1
"chamber pop",1
"jam band",1
"melancholia",1
"stomp and holler",1
"outlaw country",1
"south african pop",1
"south african pop dance",1
"rebel blues",1
"bristol indie",1
"crank wave",1
"neo-rockabilly",1
"rockabilly",1
"indie surf",1
"french indie pop",1
"french pop",1
"french rock",1
"nouvelle chanson francaise",1
"afrofuturism",1
"contemporary jazz",1
"jazz",1
"jazz saxophone",1
"acoustic rock",1
"world",1
